,idstring,sample_date,sample_strain,virus_label,fluorophore_label,annotation_space,soma_atlas_id,axonal_endpoint_dict
865,AA0866,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,962,"{'count_962': 8, 'count_656': 2, 'count_767': 16, 'count_328': 1, 'count_1101': 4, 'count_943': 5, 'count_956': 2, 'count_648': 5, 'count_998': 3, 'count_342': 2, 'count_844': 2, 'count_1085': 1, 'count_638': 1, 'count_783': 1, 'count_672': 4, 'count_477': 1, 'count_56': 2}"
866,AA0867,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,1015,"{'count_1015': 125, 'count_211': 78, 'count_962': 27, 'count_935': 2, 'count_767': 15, 'count_656': 6, 'count_919': 1}"
867,AA0868,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,767,"{'count_767': 62, 'count_1015': 25, 'count_1021': 8, 'count_588': 1, 'count_296': 1, 'count_171': 10, 'count_304': 7, 'count_211': 25, 'count_935': 3, 'count_962': 33, 'count_84': 7, 'count_363': 10, 'count_919': 21, 'count_940': 1, 'count_656': 26, 'count_442': 1}"
868,AA0869,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,10703,"{'count_463': 1, 'count_10704': 2, 'count_632': 2}"
869,AA0870,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,304,"{'count_304': 62, 'count_363': 58, 'count_477': 5, 'count_672': 6, 'count_803': 5, 'count_84': 10, 'count_194': 1, 'count_1097': 1, 'count_351': 1, 'count_6': 1, 'count_956': 1, 'count_962': 4, 'count_171': 4, 'count_667': 1, 'count_68': 1, 'count_940': 1, 'count_810': 1, 'count_827': 6, 'count_620': 1, 'count_556': 1, 'count_910': 1, 'count_211': 13, 'count_1015': 2}"
870,AA0871,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,502,"{'count_52': 33, 'count_139': 17, 'count_20': 29, 'count_543': 13, 'count_502': 8, 'count_1121': 3, 'count_727': 2}"
871,AA0872,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,296,"{'count_772': 38, 'count_582': 2, 'count_484': 6, 'count_969': 10, 'count_698': 4, 'count_484682516': 4, 'count_810': 2, 'count_296': 12, 'count_940': 3, 'count_588': 6, 'count_672': 5, 'count_610': 8, 'count_442': 11, 'count_434': 11, 'count_965': 4, 'count_671': 5, 'count_906': 4, 'count_774': 3, 'count_211': 3, 'count_620': 1, 'count_962': 1, 'count_1015': 1, 'count_935': 1}"
872,AA0873,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,962,"{'count_962': 56, 'count_767': 34, 'count_656': 11, 'count_935': 2, 'count_1108': 2, 'count_672': 78, 'count_211': 2, 'count_1015': 4, 'count_919': 1, 'count_940': 1}"
873,AA0874,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,1015,"{'count_656': 10, 'count_935': 13, 'count_211': 18, 'count_296': 10, 'count_707': 40, 'count_556': 12, 'count_814': 28, 'count_588': 17, 'count_171': 2, 'count_1015': 195, 'count_919': 22, 'count_962': 7, 'count_767': 27}"
874,AA0875,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,1084,"{'count_543': 14, 'count_664': 12, 'count_727': 21, 'count_502': 34, 'count_606826659': 3, 'count_606826647': 2, 'count_743': 2, 'count_1084': 85, 'count_843': 3, 'count_1037': 4, 'count_484682470': 1}"
